tlp_id,seq_num,payload_bytes,tlp_bytes,rc_delay_ns,link_delay_ns,endpoint_delay_ns,replay_delay_ns,total_link_latency_ns
263,263,4,20,20.0,150.0,50.0,0.0,220.0
264,264,4,20,20.0,150.0,50.0,0.0,220.0
265,265,4,20,20.0,150.0,50.0,0.0,220.0
266,266,4,20,20.0,150.0,50.0,0.0,220.0
267,267,4,20,20.0,150.0,50.0,0.0,220.0
268,268,4,20,20.0,150.0,50.0,0.0,220.0
269,269,4,20,20.0,150.0,50.0,0.0,220.0
270,270,4,20,20.0,150.0,50.0,0.0,220.0
271,271,4,20,20.0,150.0,50.0,0.0,220.0
272,272,4,20,20.0,150.0,50.0,0.0,220.0
273,273,4,20,20.0,150.0,50.0,0.0,220.0
274,274,4,20,20.0,150.0,50.0,0.0,220.0
275,275,4,20,20.0,150.0,50.0,0.0,220.0
276,276,4,20,20.0,150.0,50.0,0.0,220.0
277,277,4,20,20.0,150.0,50.0,0.0,220.0
278,278,4,20,20.0,150.0,50.0,0.0,220.0
279,279,4,20,20.0,150.0,50.0,0.0,220.0
280,280,4,20,20.0,150.0,50.0,0.0,220.0
281,281,4,20,20.0,150.0,50.0,0.0,220.0
282,282,4,20,20.0,150.0,50.0,0.0,220.0
283,283,4,20,20.0,150.0,50.0,0.0,220.0
284,284,4,20,20.0,150.0,50.0,0.0,220.0
285,285,4,20,20.0,150.0,50.0,0.0,220.0
286,286,4,20,20.0,150.0,50.0,0.0,220.0
287,287,4,20,20.0,150.0,50.0,0.0,220.0
288,288,4,20,20.0,150.0,50.0,0.0,220.0
289,289,4,20,20.0,150.0,50.0,0.0,220.0
290,290,4,20,20.0,150.0,50.0,0.0,220.0
291,291,4,20,20.0,150.0,50.0,0.0,220.0
292,292,4,20,20.0,150.0,50.0,0.0,220.0
293,293,4,20,20.0,150.0,50.0,0.0,220.0
294,294,4,20,20.0,150.0,50.0,0.0,220.0
295,295,4,20,20.0,150.0,50.0,0.0,220.0
296,296,4,20,20.0,150.0,50.0,0.0,220.0
297,297,4,20,20.0,150.0,50.0,0.0,220.0
298,298,4,20,20.0,150.0,50.0,0.0,220.0
299,299,4,20,20.0,150.0,50.0,0.0,220.0
300,300,4,20,20.0,150.0,50.0,0.0,220.0
301,301,4,20,20.0,150.0,50.0,0.0,220.0
302,302,4,20,20.0,150.0,50.0,0.0,220.0
303,303,4,20,20.0,150.0,50.0,0.0,220.0
